chromosome	Start position (hg19)	End position (hg19)	Region descriptor	Sample	Nucleosome peak position (hg19)	Distance from start (bp)	Distance from end (bp)	Within or Flanking?	WPS (mean = 1)	Read depth (mean = 1)
chr1	1525652	1526652	1	BRA01	1525635	-17	-1017	5' flanking	'n/a'	0.35
chr1	1525652	1526652	1	BRA01	1525825	173	-827	within	0.64	0.3
chr1	1525652	1526652	1	BRA01	1526055	403	-597	within	0.85	0.31
chr1	1525652	1526652	1	BRA01	1526278	626	-374	within	'n/a'	0.22
chr1	1525652	1526652	1	BRA01	1526501	849	-151	within	'n/a'	0.32
chr1	1525652	1526652	1	BRA01	1526724	1072	72	3' flanking	0.53	0.23
chr2	1525652	1526652	1	BRA01	1525622	-30	-1030	5' flanking	0.53	0.25
chr2	1525652	1526652	1	BRA01	1525919	267	-733	within	0.53	0.16
chr2	1525652	1526652	1	BRA01	1526064	412	-588	within	0.64	0.1
chr2	1525652	1526652	1	BRA01	1526279	627	-373	within	'n/a'	0.16
chr2	1525652	1526652	1	BRA01	1526494	842	-158	within	'n/a'	0.17
chr2	1525652	1526652	1	BRA01	1526709	1057	57	3' flanking	'n/a'	0.12
chr3	1525652	1526652	1	BRA01	1525483	-169	-1169	5' flanking	'n/a'	0.19
chr3	1525652	1526652	1	BRA01	1525729	77	-923	within	0.74	0.28
chr3	1525652	1526652	1	BRA01	1525927	275	-725	within	'n/a'	0.36
chr3	1525652	1526652	1	BRA01	1526125	473	-527	within	'n/a'	0.34
chr3	1525652	1526652	1	BRA01	1526323	671	-329	within	'n/a'	0.27
chr3	1525652	1526652	1	BRA01	1526523	871	-129	within	1.06	0.22
chr3	1525652	1526652	1	BRA01	1526727	1075	75	3' flanking	0.64	0.18
chr4	1525652	1526652	1	BRA01	1525641	-11	-1011	5' flanking	2.13	0.36
chr4	1525652	1526652	1	BRA01	1525829	177	-823	within	1.17	0.32
chr4	1525652	1526652	1	BRA01	1526044	392	-608	within	'n/a'	0.48
chr4	1525652	1526652	1	BRA01	1526259	607	-393	within	'n/a'	0.75
chr4	1525652	1526652	1	BRA01	1526474	822	-178	within	'n/a'	0.22
chr4	1525652	1526652	1	BRA01	1526692	1040	40	3' flanking	0.74	0.4
chr5	1525652	1526652	1	BRA01	1525624	-28	-1028	5' flanking	0.85	0.28
chr5	1525652	1526652	1	BRA01	1525840	188	-812	within	'n/a'	0.27
chr5	1525652	1526652	1	BRA01	1526056	404	-596	within	'n/a'	0.31
chr5	1525652	1526652	1	BRA01	1526272	620	-380	within	0.85	0.34
chr5	1525652	1526652	1	BRA01	1526466	814	-186	within	'n/a'	0.22
chr5	1525652	1526652	1	BRA01	1526660	1008	8	3' flanking	'n/a'	0.41
chr6	1525652	1526652	1	BRA01	1525573	-79	-1079	5' flanking	0.85	0.26
chr6	1525652	1526652	1	BRA01	1525771	119	-881	within	'n/a'	0.32
chr6	1525652	1526652	1	BRA01	1525969	317	-683	within	'n/a'	0.29
chr6	1525652	1526652	1	BRA01	1526169	517	-483	within	0.74	0.25
chr6	1525652	1526652	1	BRA01	1526303	651	-349	within	0.53	0.26
chr6	1525652	1526652	1	BRA01	1526509	857	-143	within	0.64	0.26
chr6	1525652	1526652	1	BRA01	1526667	1015	15	3' flanking	1.38	0.37
chr7	1525652	1526652	1	BRA01	1525477	-175	-1175	5' flanking	'n/a'	0.42
chr7	1525652	1526652	1	BRA01	1525669	17	-983	within	0.74	0.31
chr7	1525652	1526652	1	BRA01	1525889	237	-763	within	0.64	0.41
chr7	1525652	1526652	1	BRA01	1526055	403	-597	within	0.96	0.21
chr7	1525652	1526652	1	BRA01	1526421	769	-231	within	0.64	0.24
chr7	1525652	1526652	1	BRA01	1526593	941	-59	within	0.74	0.17
chr7	1525652	1526652	1	BRA01	1526803	1151	151	3' flanking	'n/a'	0.21
chr8	1525652	1526652	1	BRA01	1525453	-199	-1199	5' flanking	1.06	0.39
chr8	1525652	1526652	1	BRA01	1525661	9	-991	within	'n/a'	0.25
chr8	1525652	1526652	1	BRA01	1525869	217	-783	within	0.85	0.25
chr8	1525652	1526652	1	BRA01	1526023	371	-629	within	0.74	0.29
chr8	1525652	1526652	1	BRA01	1526251	599	-401	within	'n/a'	0.35
chr8	1525652	1526652	1	BRA01	1526479	827	-173	within	'n/a'	0.31
chr8	1525652	1526652	1	BRA01	1526708	1056	56	3' flanking	0.85	0.27
chr9	1525652	1526652	1	BRA01	1525614	-38	-1038	5' flanking	0.64	0.32
chr9	1525652	1526652	1	BRA01	1525848	196	-804	within	'n/a'	0.47
chr9	1525652	1526652	1	BRA01	1526082	430	-570	within	'n/a'	0.31
chr9	1525652	1526652	1	BRA01	1526317	665	-335	within	1.28	0.15
chr9	1525652	1526652	1	BRA01	1526504	852	-148	within	'n/a'	0.16
chr9	1525652	1526652	1	BRA01	1526691	1039	39	3' flanking	'n/a'	0.36
chr10	1525652	1526652	1	BRA01	1525649	-3	-1003	5' flanking	0.64	0.47
chr10	1525652	1526652	1	BRA01	1525898	246	-754	within	0.96	0.26
chr10	1525652	1526652	1	BRA01	1526114	462	-538	within	0.64	0.34
chr10	1525652	1526652	1	BRA01	1526294	642	-358	within	1.17	0.45
chr10	1525652	1526652	1	BRA01	1526482	830	-170	within	1.7	0.33
chr10	1525652	1526652	1	BRA01	1526629	977	-23	within	0.85	0.28
chr10	1525652	1526652	1	BRA01	1526938	1286	286	3' flanking	0.64	0.14
chr11	1525652	1526652	1	BRA01	1525497	-155	-1155	5' flanking	0.74	0.23
chr11	1525652	1526652	1	BRA01	1525679	27	-973	within	0.85	0.2
chr11	1525652	1526652	1	BRA01	1525848	196	-804	within	0.74	0.16
chr11	1525652	1526652	1	BRA01	1526059	407	-593	within	'n/a'	0.34
chr11	1525652	1526652	1	BRA01	1526271	619	-381	within	0.53	0.26
chr11	1525652	1526652	1	BRA01	1526380	728	-272	within	0.85	0.24
