16050332	0.64	0.4
16050600	0.53	0.3
16050713	0.74	0.24
16050912	1.38	0.3
16051169	'n/a'	0.35
16051427	0.64	0.29
16051662	0.53	0.13
16051738	0.53	0.12
16051986	'n/a'	0.18
16052235	0.85	0.28
16052452	'n/a'	0.22
16052669	'n/a'	0.3
16052887	0.85	0.19
16053037	1.17	0.14
16053259	0.53	0.22
16053510	'n/a'	0.36
16053762	0.64	0.32
16054034	0.53	0.32
16054212	0.64	0.24
16054481	0.74	0.09
16054740	1.06	0.23
16054934	'n/a'	0.27
16055128	0.74	0.26
16055358	1.49	0.2
16055582	0.53	0.36
16055780	'n/a'	0.29
16055978	'n/a'	0.22
16056177	1.91	0.21
16056336	0.74	0.21
16056529	1.6	0.45
16056725	1.17	0.37
16056912	0.96	0.27
16057115	0.74	0.4
16057310	0.96	0.3
16057525	0.64	0.34
16057724	'n/a'	0.32
16057923	'n/a'	0.26
16058123	1.17	0.16
16058202	0.96	0.14
16058467	'n/a'	0.5
16058733	1.38	0.29
16058944	'n/a'	0.24
16059155	'n/a'	0.18
16059366	'n/a'	0.05
16059577	'n/a'	0.08
16059788	'n/a'	0.34
16060000	1.6	0.31
16060199	0.74	0.2
16060565	0.74	0.33
16060777	1.17	0.27
16060934	1.06	0.3
16061150	'n/a'	0.29
16061366	0.96	0.24
16061596	'n/a'	0.14
16061826	'n/a'	0.21
16062057	0.96	0.14
16062229	1.28	0.16
16062410	1.17	0.33
16062597	0.64	0.09
16062956	0.53	0.13
16063143	'n/a'	0.29
16063330	'n/a'	0.29
16063518	0.85	0.29
16063709	0.85	0.24
16063902	0.64	0.17
16064087	0.64	0.26
16064346	'n/a'	0.16
16064606	1.06	0.09
16064817	'n/a'	0.27
16065028	'n/a'	0.19
16065240	0.74	0.15
16065472	0.96	0.08
16065750	0.85	0.41
16066100	1.38	0.4
16066276	0.96	0.17
16066500	'n/a'	0.32
16066724	'n/a'	0.27
16066950	0.53	0.37
16067131	0.85	0.14
16067307	0.96	0.14
16067545	0.74	0.27
16067721	0.74	0.18
16067911	0.74	0.1
16068117	0.64	0.08
16068406	0.53	0.07
16068622	'n/a'	0.09
16068838	'n/a'	0.14
16069054	'n/a'	0.3
16069272	0.85	0.34
16069465	2.02	0.38
16069699	'n/a'	0.59
16069933	'n/a'	0.49
16070169	1.28	0.15
16070370	'n/a'	0.14
16070571	'n/a'	0.39
16070772	'n/a'	0.17
16070974	0.64	0.23
16071175	0.85	0.09
16071305	0.85	0.09
16071522	0.96	0.19
16071768	0.53	0.08
16071932	0.64	0.14
16072144	0.64	0.07
16072371	0.64	0.19
16072564	0.64	0.08
16072734	0.85	0.18
16072982	0.96	0.27
16073164	0.64	0.09
16073363	0.74	0.22
16073523	0.64	0.21
16073708	1.06	0.11
16073895	'n/a'	0.18
16074082	'n/a'	0.2
16074269	'n/a'	0.02
16074456	'n/a'	0.02
16074643	'n/a'	0.02
16074830	'n/a'	0.03
16075017	'n/a'	0.05
16075204	'n/a'	0.06
16075391	'n/a'	0.04
16075578	'n/a'	0.02
16075765	'n/a'	0.02
16075952	'n/a'	0.04
16076139	'n/a'	0.02
16076326	'n/a'	0.05
16076513	'n/a'	0.06
16076700	'n/a'	0.05
16076887	'n/a'	0.07
16077091	0.53	0.08
16077331	'n/a'	0.23
16077571	0.53	0.05
16077816	'n/a'	0.07
16078062	0.53	0.04
16078254	'n/a'	0.05
16078446	'n/a'	0.03
16078638	'n/a'	0.02
